product_id,product_name,price,stock_quantity
1,Fitness Resistance Bands,29.99,184
2,Pasta Primavera Kit,7.49,73
3,Dill Pickle Chips,2.29,13
4,Blue Corn Tortilla Chips,3.49,119
5,Digital Stopwatch Timer,12.99,58
6,Sushi Roll Kit,9.99,52
7,Kettle Corn Popcorn,2.99,118
8,Backpacking Tent,109.99,98
9,Chili Lime Shrimp,8.99,134
10,Cilantro Lime Rice,2.99,58
11,Outdoor Camping Lantern,34.99,8
12,Brownie Bites,4.99,79
13,Electric Heating Pad,20.99,22
14,Soft Plush Throw Blanket,29.99,96
15,Organic Quinoa Chips,3.99,22
16,Noise Reduction Headphones,39.99,91
17,Wild Rice Pilaf,3.79,173
18,Magnetic Spice Containers,24.99,197
19,Honey Butter Popcorn,2.99,189
20,Organic Brown Sugar,2.49,8
21,Mini Air Purifier,49.99,63
22,Honey-Balsamic Vinaigrette,3.39,183
23,Chickpea Salad,5.49,137
24,Ultraviolet Phone Sanitizer,39.99,64
25,Oatmeal Raisin Cookies,3.49,78
26,Organic Vanilla Bean Ice Cream,5.99,89
27,Pesto Pasta Salad,4.99,182
28,Smart Water Bottle with Hydration Reminder,39.99,53
29,Sporty Leggings,39.99,67
30,USB-C Hub,39.99,198
31,Vacuum Sealer Machine,89.99,43
32,Car Windshield Sun Shade,19.99,44
33,Teriyaki Chicken Bowl,6.49,77
34,Sweet and Sour Sauce,2.79,25
35,Electric Griddle,54.99,99
36,Chickpea Flour,3.29,106
37,Pasta Salad Kit,5.99,106
38,Silicone Ice Cube Tray,10.99,181
39,Air Fryer,79.99,115
40,Stainless Steel Mixing Bowls,29.99,110
41,Wireless Gaming Mouse,39.99,127
42,Ethically-Sourced Coffee Beans,9.99,112
43,Organic Quinoa,4.29,94
44,Oven-Baked Sweet Potato Fries,3.99,28
45,Compact Refrigerator,199.99,107
46,Wild Rice Pilaf,3.79,163
47,Leather Wallet,49.99,122
48,Honey Sriracha Chicken Bites,7.99,120
49,Buffalo Chicken Dip,5.99,71
50,3D Night Light,19.99,54
51,Paprika,1.79,46
